ERROR|COMPILE_TIME_ERROR|UNDEFINED_FUNCTION|/home/hermes/overmind_flutter/lib/src/theme.dart|42|16|13|The function 'CardThemeData' isn't defined.
WARNING|STATIC_WARNING|UNUSED_FIELD|/home/hermes/overmind_flutter/lib/src/game/games/falcon_game.dart|26|7|5|The value of the field '_hits' isn't used.
WARNING|STATIC_WARNING|UNUSED_FIELD|/home/hermes/overmind_flutter/lib/src/game/games/falcon_game.dart|26|18|6|The value of the field '_cores' isn't used.
WARNING|STATIC_WARNING|UNUSED_FIELD|/home/hermes/overmind_flutter/lib/src/game/games/falcon_game.dart|26|30|7|The value of the field '_misses' isn't used.
WARNING|STATIC_WARNING|UNUSED_LOCAL_VARIABLE|/home/hermes/overmind_flutter/lib/src/screens/home_screen.dart|19|11|5|The value of the local variable 'store' isn't used.
WARNING|STATIC_WARNING|UNUSED_IMPORT|/home/hermes/overmind_flutter/test/capture_and_store_test.dart|3|8|9|Unused import: 'dart:ui'.
WARNING|STATIC_WARNING|UNUSED_IMPORT|/home/hermes/overmind_flutter/test/capture_and_store_test.dart|7|8|31|Unused import: 'package:flame/components.dart'.
WARNING|STATIC_WARNING|UNUSED_IMPORT|/home/hermes/overmind_flutter/test/capture_and_store_test.dart|8|8|25|Unused import: 'package:flame/game.dart'.
WARNING|STATIC_WARNING|UNUSED_IMPORT|/home/hermes/overmind_flutter/test/capture_and_store_test.dart|9|8|36|Unused import: 'package:flame_test/flame_test.dart'.
WARNING|STATIC_WARNING|UNUSED_IMPORT|/home/hermes/overmind_flutter/test/capture_and_store_test.dart|15|8|51|Unused import: 'package:overmind/src/game/games/balloon_game.dart'.
WARNING|STATIC_WARNING|UNUSED_IMPORT|/home/hermes/overmind_flutter/test/capture_and_store_test.dart|16|8|50|Unused import: 'package:overmind/src/game/games/falcon_game.dart'.
WARNING|STATIC_WARNING|UNUSED_IMPORT|/home/hermes/overmind_flutter/test/capture_and_store_test.dart|17|8|50|Unused import: 'package:overmind/src/game/games/seesaw_game.dart'.
WARNING|STATIC_WARNING|UNUSED_IMPORT|/home/hermes/overmind_flutter/test/capture_and_store_test.dart|24|8|41|Unused import: 'package:vector_math/vector_math_64.dart'.
WARNING|STATIC_WARNING|UNUSED_IMPORT|/home/hermes/overmind_flutter/test/capture_and_store_test.dart|28|8|30|Unused import: 'game_logic_test_helpers.dart'.
WARNING|STATIC_WARNING|OVERRIDE_ON_NON_OVERRIDING_MEMBER|/home/hermes/overmind_flutter/test/capture_and_store_test.dart|44|29|11|The method doesn't override an inherited method.
